position |    rank    |           player_name            | points | wins | loses | played | winrate
      87 | major      | Mr Red Stag                      |   1341 |   68 |    61 |    129 |      52
      88 | major      | ThatCat                          |   1341 |   25 |     6 |     31 |      80
      89 | major      | sovasasha                        |   1340 |   36 |    23 |     59 |      61
      90 | major      | Captain Ballbag                  |   1337 |  116 |    95 |    211 |      54
      91 | major      | ggeneral                         |   1336 |  100 |    80 |    180 |      55
      92 | major      | Pure Frog                        |   1336 |   48 |    32 |     80 |      60
      93 | major      | myName="sir smart harvester";    |   1336 |  236 |   195 |    431 |      54
      94 | major      | JSP0889                          |   1335 |  657 |   543 |   1200 |      54
      95 | major      | WZ-132                           |   1334 |   19 |     0 |     19 |     100
      96 | major      | Lino Bollansee                   |   1332 |  389 |   197 |    586 |      66
      97 | major      | Tony Soprano                     |   1332 |   56 |    44 |    100 |      56
      98 | major      | MeatLove                         |   1332 |   38 |    16 |     54 |      70
      99 | major      | melis.thibaud                    |   1330 |  219 |   174 |    393 |      55
     100 | major      | stony                            |   1327 |   38 |    21 |     59 |      64
     101 | major      | Loading                          |   1326 |   20 |     9 |     29 |      68
     102 | major      | Kuppiveikko                      |   1321 |  288 |   207 |    495 |      58
     103 | major      | hundor90 [HUN]                   |   1320 |   60 |    35 |     95 |      63
     104 | major      | Alexmir13                        |   1317 |   58 |    49 |    107 |      54
     105 | major      | BurnieByrnes                     |   1315 |   41 |    14 |     55 |      74
     106 | major      | zergling [HUN]                   |   1315 |   65 |    54 |    119 |      54
     107 | major      | bcnaug                           |   1314 |  950 |   760 |   1710 |      55
     108 | major      | zombiegizmo99                    |   1314 |  124 |    99 |    223 |      55
     109 | major      | Imgone                           |   1314 |   27 |    12 |     39 |      69
     110 | major      | 1st.Painkiller                   |   1314 |  261 |   219 |    480 |      54
     111 | major      | Russischewurst                   |   1313 |  132 |    96 |    228 |      57
     112 | major      | Wo.DooM;                         |   1312 |   61 |    33 |     94 |      64
     113 | major      | SpecialDeliveryBitch             |   1311 |   17 |     0 |     17 |     100
     114 | major      | Jeeben                           |   1310 |   31 |     5 |     36 |      86
     115 | major      | ImNotVasiliy                     |   1309 |   87 |    50 |    137 |      63
     116 | major      | Red                              |   1306 |   16 |     3 |     19 |      84
     117 | major      | bigmammoth2                      |   1298 |  308 |   229 |    537 |      57
     118 | major      | j_me1                            |   1289 |   50 |    41 |     91 |      54
     119 | major      | ttv | sfhobbit                   |   1289 |   18 |     6 |     24 |      75
     120 | major      | ACE SAFT                         |   1284 |   40 |    25 |     65 |      61
     121 | major      | madstar                          |   1280 |  264 |   240 |    504 |      52
     122 | major      | Cat                              |   1278 |   37 |    26 |     63 |      58
     123 | major      | SplinterII                       |   1275 |  114 |    81 |    195 |      58
